,,,,Total,Hombre,Mujer,No especificado
21 144,San Salvador Huixcolotla,Total,Octubre,1,1,,
21 144,San Salvador Huixcolotla,Total,Noviembre,2,2,,
21 144,San Salvador Huixcolotla,2022,Total,13,13,,
21 144,San Salvador Huixcolotla,2022,Enero,3,3,,
21 144,San Salvador Huixcolotla,2022,Abril,1,1,,
21 144,San Salvador Huixcolotla,2022,Junio,1,1,,
21 144,San Salvador Huixcolotla,2022,Julio,3,3,,
21 144,San Salvador Huixcolotla,2022,Agosto,1,1,,
21 144,San Salvador Huixcolotla,2022,Septiembre,1,1,,
21 144,San Salvador Huixcolotla,2022,Octubre,1,1,,
21 144,San Salvador Huixcolotla,2022,Noviembre,2,2,,
21 145,San Sebastián Tlacotepec,Total,Total,4,3,1,
21 145,San Sebastián Tlacotepec,Total,Febrero,1,1,,
21 145,San Sebastián Tlacotepec,Total,Abril,1,,1,
21 145,San Sebastián Tlacotepec,Total,Mayo,1,1,,
21 145,San Sebastián Tlacotepec,Total,Junio,1,1,,
21 145,San Sebastián Tlacotepec,2022,Total,4,3,1,
21 145,San Sebastián Tlacotepec,2022,Febrero,1,1,,
21 145,San Sebastián Tlacotepec,2022,Abril,1,,1,
21 145,San Sebastián Tlacotepec,2022,Mayo,1,1,,
21 145,San Sebastián Tlacotepec,2022,Junio,1,1,,
21 147,Santa Inés Ahuatempan,Total,Total,1,1,,
21 147,Santa Inés Ahuatempan,Total,Octubre,1,1,,
21 147,Santa Inés Ahuatempan,2022,Total,1,1,,
21 147,Santa Inés Ahuatempan,2022,Octubre,1,1,,
21 148,Santa Isabel Cholula,Total,Total,1,1,,
21 148,Santa Isabel Cholula,Total,Noviembre,1,1,,
21 148,Santa Isabel Cholula,2022,Total,1,1,,
21 148,Santa Isabel Cholula,2022,Noviembre,1,1,,
21 149,Santiago Miahuatlán,Total,Total,7,7,,
21 149,Santiago Miahuatlán,Total,Abril,1,1,,
21 149,Santiago Miahuatlán,Total,Mayo,2,2,,
21 149,Santiago Miahuatlán,Total,Septiembre,3,3,,
21 149,Santiago Miahuatlán,Total,Noviembre,1,1,,
21 149,Santiago Miahuatlán,2022,Total,7,7,,
21 149,Santiago Miahuatlán,2022,Abril,1,1,,
21 149,Santiago Miahuatlán,2022,Mayo,2,2,,
21 149,Santiago Miahuatlán,2022,Septiembre,3,3,,
21 149,Santiago Miahuatlán,2022,Noviembre,1,1,,
21 150,Huehuetlán el Grande,Total,Total,1,1,,
21 150,Huehuetlán el Grande,Total,Diciembre,1,1,,
21 150,Huehuetlán el Grande,2022,Total,1,1,,
21 150,Huehuetlán el Grande,2022,Diciembre,1,1,,
21 151,Santo Tomás Hueyotlipan,Total,Total,1,1,,
21 151,Santo Tomás Hueyotlipan,Total,Noviembre,1,1,,
21 151,Santo Tomás Hueyotlipan,2020,Total,1,1,,
21 151,Santo Tomás Hueyotlipan,2020,Noviembre,1,1,,
21 153,Tecali de Herrera,Total,Total,4,4,,
21 153,Tecali de Herrera,Total,Mayo,2,2,,
21 153,Tecali de Herrera,Total,Julio,1,1,,
21 153,Tecali de Herrera,Total,Octubre,1,1,,
21 153,Tecali de Herrera,2022,Total,4,4,,
21 153,Tecali de Herrera,2022,Mayo,2,2,,
21 153,Tecali de Herrera,2022,Julio,1,1,,
21 153,Tecali de Herrera,2022,Octubre,1,1,,
21 154,Tecamachalco,Total,Total,41,34,6,1
21 154,Tecamachalco,Total,Enero,1,1,,
21 154,Tecamachalco,Total,Febrero,7,6,1,
21 154,Tecamachalco,Total,Marzo,4,3,,1
21 154,Tecamachalco,Total,Abril,6,6,,
21 154,Tecamachalco,Total,Mayo,1,1,,
21 154,Tecamachalco,Total,Junio,3,2,1,
21 154,Tecamachalco,Total,Julio,2,2,,
21 154,Tecamachalco,Total,Agosto,7,4,3,
21 154,Tecamachalco,Total,Septiembre,2,2,,
21 154,Tecamachalco,Total,Octubre,5,5,,
21 154,Tecamachalco,Total,Noviembre,3,2,1,
21 154,Tecamachalco,2019,Total,1,1,,
21 154,Tecamachalco,2019,Junio,1,1,,
21 154,Tecamachalco,2021,Total,3,2,,1
21 154,Tecamachalco,2021,Marzo,2,1,,1
21 154,Tecamachalco,2021,Noviembre,1,1,,
21 154,Tecamachalco,2022,Total,37,31,6,
21 154,Tecamachalco,2022,Enero,1,1,,
21 154,Tecamachalco,2022,Febrero,7,6,1,
21 154,Tecamachalco,2022,Marzo,2,2,,
21 154,Tecamachalco,2022,Abril,6,6,,
21 154,Tecamachalco,2022,Mayo,1,1,,
21 154,Tecamachalco,2022,Junio,2,1,1,
21 154,Tecamachalco,2022,Julio,2,2,,
21 154,Tecamachalco,2022,Agosto,7,4,3,
21 154,Tecamachalco,2022,Septiembre,2,2,,
21 154,Tecamachalco,2022,Octubre,5,5,,
21 154,Tecamachalco,2022,Noviembre,2,1,1,
21 155,Tecomatlán,Total,Total,1,1,,
21 155,Tecomatlán,Total,Agosto,1,1,,
21 155,Tecomatlán,2022,Total,1,1,,
21 155,Tecomatlán,2022,Agosto,1,1,,
21 156,Tehuacán,Total,Total,56,49,7,
21 156,Tehuacán,Total,Enero,4,4,,
21 156,Tehuacán,Total,Febrero,3,2,1,
21 156,Tehuacán,Total,Marzo,3,2,1,
21 156,Tehuacán,Total,Abril,8,7,1,
21 156,Tehuacán,Total,Mayo,5,5,,
21 156,Tehuacán,Total,Junio,5,5,,
21 156,Tehuacán,Total,Julio,6,6,,
21 156,Tehuacán,Total,Agosto,8,6,2,
21 156,Tehuacán,Total,Septiembre,7,6,1,
21 156,Tehuacán,Total,Noviembre,1,,1,
21 156,Tehuacán,Total,Diciembre,6,6,,
21 156,Tehuacán,2021,Total,1,1,,
21 156,Tehuacán,2021,Diciembre,1,1,,
21 156,Tehuacán,2022,Total,55,48,7,
21 156,Tehuacán,2022,Enero,4,4,,
21 156,Tehuacán,2022,Febrero,3,2,1,
21 156,Tehuacán,2022,Marzo,3,2,1,
21 156,Tehuacán,2022,Abril,8,7,1,
21 156,Tehuacán,2022,Mayo,5,5,,
21 156,Tehuacán,2022,Junio,5,5,,
21 156,Tehuacán,2022,Julio,6,6,,
21 156,Tehuacán,2022,Agosto,8,6,2,
21 156,Tehuacán,2022,Septiembre,7,6,1,
21 156,Tehuacán,2022,Noviembre,1,,1,
21 156,Tehuacán,2022,Diciembre,5,5,,
21 157,Tehuitzingo,Total,Total,7,7,,
21 157,Tehuitzingo,Total,Enero,2,2,,
21 157,Tehuitzingo,Total,Mayo,1,1,,
21 157,Tehuitzingo,Total,Junio,1,1,,
21 157,Tehuitzingo,Total,Agosto,1,1,,
21 157,Tehuitzingo,Total,Septiembre,1,1,,
21 157,Tehuitzingo,Total,Octubre,1,1,,
21 157,Tehuitzingo,2022,Total,7,7,,
21 157,Tehuitzingo,2022,Enero,2,2,,
21 157,Tehuitzingo,2022,Mayo,1,1,,
21 157,Tehuitzingo,2022,Junio,1,1,,
21 157,Tehuitzingo,2022,Agosto,1,1,,
21 157,Tehuitzingo,2022,Septiembre,1,1,,
21 157,Tehuitzingo,2022,Octubre,1,1,,
21 158,Tenampulco,Total,Total,2,1,1,
21 158,Tenampulco,Total,Febrero,1,1,,
21 158,Tenampulco,Total,Agosto,1,,1,
21 158,Tenampulco,2022,Total,2,1,1,
21 158,Tenampulco,2022,Febrero,1,1,,
21 158,Tenampulco,2022,Agosto,1,,1,
21 160,Teotlalco,Total,Total,5,5,,
21 160,Teotlalco,Total,Mayo,1,1,,
21 160,Teotlalco,Total,Junio,1,1,,
21 160,Teotlalco,Total,Octubre,1,1,,
21 160,Teotlalco,Total,Diciembre,2,2,,
21 160,Teotlalco,2022,Total,5,5,,
21 160,Teotlalco,2022,Mayo,1,1,,
21 160,Teotlalco,2022,Junio,1,1,,
21 160,Teotlalco,2022,Octubre,1,1,,
21 160,Teotlalco,2022,Diciembre,2,2,,
21 161,Tepanco de López,Total,Total,1,1,,
21 161,Tepanco de López,Total,Agosto,1,1,,
21 161,Tepanco de López,2022,Total,1,1,,
21 161,Tepanco de López,2022,Agosto,1,1,,
21 163,Tepatlaxco de Hidalgo,Total,Total,2,2,,
21 163,Tepatlaxco de Hidalgo,Total,Abril,2,2,,
21 163,Tepatlaxco de Hidalgo,2022,Total,2,2,,
21 163,Tepatlaxco de Hidalgo,2022,Abril,2,2,,
21 164,Tepeaca,Total,Total,20,20,,
21 164,Tepeaca,Total,Enero,1,1,,
21 164,Tepeaca,Total,Febrero,2,2,,
21 164,Tepeaca,Total,Marzo,3,3,,
21 164,Tepeaca,Total,Abril,4,4,,
21 164,Tepeaca,Total,Mayo,3,3,,
21 164,Tepeaca,Total,Junio,1,1,,
21 164,Tepeaca,Total,Julio,2,2,,
21 164,Tepeaca,Total,Agosto,1,1,,
21 164,Tepeaca,Total,Septiembre,2,2,,
21 164,Tepeaca,Total,Diciembre,1,1,,
21 164,Tepeaca,2022,Total,20,20,,
21 164,Tepeaca,2022,Enero,1,1,,
21 164,Tepeaca,2022,Febrero,2,2,,
21 164,Tepeaca,2022,Marzo,3,3,,
21 164,Tepeaca,2022,Abril,4,4,,
21 164,Tepeaca,2022,Mayo,3,3,,
21 164,Tepeaca,2022,Junio,1,1,,
21 164,Tepeaca,2022,Julio,2,2,,
21 164,Tepeaca,2022,Agosto,1,1,,
21 164,Tepeaca,2022,Septiembre,2,2,,
21 164,Tepeaca,2022,Diciembre,1,1,,
21 166,Tepeojuma,Total,Total,2,1,1,
21 166,Tepeojuma,Total,Octubre,1,1,,
21 166,Tepeojuma,Total,Noviembre,1,,1,
21 166,Tepeojuma,2021,Total,1,,1,
21 166,Tepeojuma,2021,Noviembre,1,,1,
21 166,Tepeojuma,2022,Total,1,1,,
21 166,Tepeojuma,2022,Octubre,1,1,,
21 167,Tepetzintla,Total,Total,1,1,,
21 167,Tepetzintla,Total,Diciembre,1,1,,
21 167,Tepetzintla,2022,Total,1,1,,
21 167,Tepetzintla,2022,Diciembre,1,1,,
21 168,Tepexco,Total,Total,4,3,,1
21 168,Tepexco,Total,Junio,1,1,,
21 168,Tepexco,Total,Julio,1,,,1
21 168,Tepexco,Total,Agosto,1,1,,
21 168,Tepexco,Total,Diciembre,1,1,,
21 168,Tepexco,2019,Total,1,1,,
21 168,Tepexco,2019,Diciembre,1,1,,
21 168,Tepexco,2022,Total,3,2,,1
21 168,Tepexco,2022,Junio,1,1,,
21 168,Tepexco,2022,Julio,1,,,1
21 168,Tepexco,2022,Agosto,1,1,,
21 169,Tepexi de Rodríguez,Total,Total,2,2,,
21 169,Tepexi de Rodríguez,Total,Febrero,1,1,,
21 169,Tepexi de Rodríguez,Total,Agosto,1,1,,
21 169,Tepexi de Rodríguez,2022,Total,2,2,,
21 169,Tepexi de Rodríguez,2022,Febrero,1,1,,
21 169,Tepexi de Rodríguez,2022,Agosto,1,1,,
21 170,Tepeyahualco,Total,Total,2,2,,
21 170,Tepeyahualco,Total,Marzo,1,1,,
21 170,Tepeyahualco,Total,No especificado,1,1,,
21 170,Tepeyahualco,2022,Total,1,1,,
21 170,Tepeyahualco,2022,Marzo,1,1,,
21 170,Tepeyahualco,No especificado,Total,1,1,,
21 170,Tepeyahualco,No especificado,No especificado,1,1,,
21 171,Tepeyahualco de Cuauhtémoc,Total,Total,1,1,,
21 171,Tepeyahualco de Cuauhtémoc,Total,Julio,1,1,,
21 171,Tepeyahualco de Cuauhtémoc,2022,Total,1,1,,
21 171,Tepeyahualco de Cuauhtémoc,2022,Julio,1,1,,
21 172,Tetela de Ocampo,Total,Total,1,,1,
21 172,Tetela de Ocampo,Total,Septiembre,1,,1,
21 172,Tetela de Ocampo,2022,Total,1,,1,
21 172,Tetela de Ocampo,2022,Septiembre,1,,1,
21 173,Teteles de Avila Castillo,Total,Total,1,1,,
21 173,Teteles de Avila Castillo,Total,Agosto,1,1,,
21 173,Teteles de Avila Castillo,2022,Total,1,1,,
21 173,Teteles de Avila Castillo,2022,Agosto,1,1,,
21 174,Teziutlán,Total,Total,9,9,,
21 174,Teziutlán,Total,Febrero,3,3,,
21 174,Teziutlán,Total,Abril,1,1,,
21 174,Teziutlán,Total,Julio,2,2,,
21 174,Teziutlán,Total,Septiembre,2,2,,
21 174,Teziutlán,Total,Octubre,1,1,,
21 174,Teziutlán,2022,Total,9,9,,
21 174,Teziutlán,2022,Febrero,3,3,,
21 174,Teziutlán,2022,Abril,1,1,,
21 174,Teziutlán,2022,Julio,2,2,,
21 174,Teziutlán,2022,Septiembre,2,2,,
21 174,Teziutlán,2022,Octubre,1,1,,
21 175,Tianguismanalco,Total,Total,1,1,,
21 175,Tianguismanalco,Total,Noviembre,1,1,,
21 175,Tianguismanalco,2022,Total,1,1,,
21 175,Tianguismanalco,2022,Noviembre,1,1,,
21 176,Tilapa,Total,Total,9,9,,
21 176,Tilapa,Total,Febrero,2,2,,
21 176,Tilapa,Total,Mayo,5,5,,
21 176,Tilapa,Total,Septiembre,1,1,,
21 176,Tilapa,Total,Octubre,1,1,,
21 176,Tilapa,2022,Total,9,9,,
21 176,Tilapa,2022,Febrero,2,2,,
21 176,Tilapa,2022,Mayo,5,5,,
21 176,Tilapa,2022,Septiembre,1,1,,
21 176,Tilapa,2022,Octubre,1,1,,
21 177,Tlacotepec de Benito Juárez,Total,Total,6,6,,
21 177,Tlacotepec de Benito Juárez,Total,Enero,1,1,,
21 177,Tlacotepec de Benito Juárez,Total,Febrero,1,1,,
21 177,Tlacotepec de Benito Juárez,Total,Octubre,3,3,,
21 177,Tlacotepec de Benito Juárez,Total,Diciembre,1,1,,
21 177,Tlacotepec de Benito Juárez,2021,Total,1,1,,
21 177,Tlacotepec de Benito Juárez,2021,Enero,1,1,,
21 177,Tlacotepec de Benito Juárez,2022,Total,5,5,,
21 177,Tlacotepec de Benito Juárez,2022,Febrero,1,1,,
21 177,Tlacotepec de Benito Juárez,2022,Octubre,3,3,,
21 177,Tlacotepec de Benito Juárez,2022,Diciembre,1,1,,
21 178,Tlacuilotepec,Total,Total,2,1,1,
21 178,Tlacuilotepec,Total,Noviembre,1,1,,
21 178,Tlacuilotepec,Total,Diciembre,1,,1,
21 178,Tlacuilotepec,2022,Total,2,1,1,
21 178,Tlacuilotepec,2022,Noviembre,1,1,,
21 178,Tlacuilotepec,2022,Diciembre,1,,1,
21 179,Tlachichuca,Total,Total,3,2,1,
21 179,Tlachichuca,Total,Julio,1,,1,
21 179,Tlachichuca,Total,Noviembre,1,1,,
21 179,Tlachichuca,Total,Diciembre,1,1,,
21 179,Tlachichuca,2022,Total,3,2,1,
21 179,Tlachichuca,2022,Julio,1,,1,
21 179,Tlachichuca,2022,Noviembre,1,1,,
21 179,Tlachichuca,2022,Diciembre,1,1,,
21 180,Tlahuapan,Total,Total,2,2,,
21 180,Tlahuapan,Total,Abril,2,2,,
21 180,Tlahuapan,2022,Total,2,2,,
21 180,Tlahuapan,2022,Abril,2,2,,
21 181,Tlaltenango,Total,Total,2,2,,
21 181,Tlaltenango,Total,Mayo,1,1,,
21 181,Tlaltenango,Total,Julio,1,1,,
21 181,Tlaltenango,2022,Total,2,2,,
21 181,Tlaltenango,2022,Mayo,1,1,,
21 181,Tlaltenango,2022,Julio,1,1,,
21 182,Tlanepantla,Total,Total,1,,1,
21 182,Tlanepantla,Total,Diciembre,1,,1,
21 182,Tlanepantla,2019,Total,1,,1,
21 182,Tlanepantla,2019,Diciembre,1,,1,
21 183,Tlaola,Total,Total,5,5,,
21 183,Tlaola,Total,Marzo,3,3,,
21 183,Tlaola,Total,Octubre,1,1,,
21 183,Tlaola,Total,Diciembre,1,1,,
21 183,Tlaola,2022,Total,5,5,,
21 183,Tlaola,2022,Marzo,3,3,,
21 183,Tlaola,2022,Octubre,1,1,,
21 183,Tlaola,2022,Diciembre,1,1,,
21 184,Tlapacoya,Total,Total,1,1,,
21 184,Tlapacoya,Total,Agosto,1,1,,
21 184,Tlapacoya,2022,Total,1,1,,
21 184,Tlapacoya,2022,Agosto,1,1,,
21 185,Tlapanalá,Total,Total,3,3,,
21 185,Tlapanalá,Total,Junio,2,2,,
21 185,Tlapanalá,Total,Noviembre,1,1,,
21 185,Tlapanalá,2022,Total,3,3,,
21 185,Tlapanalá,2022,Junio,2,2,,
21 185,Tlapanalá,2022,Noviembre,1,1,,
21 186,Tlatlauquitepec,Total,Total,2,2,,
21 186,Tlatlauquitepec,Total,Febrero,1,1,,
21 186,Tlatlauquitepec,Total,Abril,1,1,,
21 186,Tlatlauquitepec,2022,Total,2,2,,
21 186,Tlatlauquitepec,2022,Febrero,1,1,,
21 186,Tlatlauquitepec,2022,Abril,1,1,,
21 188,Tochimilco,Total,Total,1,1,,
21 188,Tochimilco,Total,Marzo,1,1,,
21 188,Tochimilco,2022,Total,1,1,,
21 188,Tochimilco,2022,Marzo,1,1,,
21 189,Tochtepec,Total,Total,2,1,1,
21 189,Tochtepec,Total,Febrero,1,,1,
21 189,Tochtepec,Total,Septiembre,1,1,,
21 189,Tochtepec,2022,Total,2,1,1,
21 189,Tochtepec,2022,Febrero,1,,1,
21 189,Tochtepec,2022,Septiembre,1,1,,
21 191,Tulcingo,Total,Total,4,4,,
21 191,Tulcingo,Total,Septiembre,1,1,,
21 191,Tulcingo,Total,Octubre,1,1,,
21 191,Tulcingo,Total,Noviembre,1,1,,
21 191,Tulcingo,Total,Diciembre,1,1,,
21 191,Tulcingo,2019,Total,1,1,,
21 191,Tulcingo,2019,Octubre,1,1,,
21 191,Tulcingo,2021,Total,1,1,,
21 191,Tulcingo,2021,Diciembre,1,1,,
21 191,Tulcingo,2022,Total,2,2,,
21 191,Tulcingo,2022,Septiembre,1,1,,
21 191,Tulcingo,2022,Noviembre,1,1,,
21 192,Tuzamapan de Galeana,Total,Total,1,1,,
21 192,Tuzamapan de Galeana,Total,Febrero,1,1,,
21 192,Tuzamapan de Galeana,2022,Total,1,1,,
21 192,Tuzamapan de Galeana,2022,Febrero,1,1,,
21 193,Tzicatlacoyan,Total,Total,6,6,,
21 193,Tzicatlacoyan,Total,Febrero,1,1,,
21 193,Tzicatlacoyan,Total,Mayo,4,4,,
21 193,Tzicatlacoyan,Total,Junio,1,1,,
21 193,Tzicatlacoyan,2022,Total,6,6,,
21 193,Tzicatlacoyan,2022,Febrero,1,1,,
21 193,Tzicatlacoyan,2022,Mayo,4,4,,
21 193,Tzicatlacoyan,2022,Junio,1,1,,
21 194,Venustiano Carranza,Total,Total,4,3,1,
21 194,Venustiano Carranza,Total,Febrero,1,,1,
21 194,Venustiano Carranza,Total,Abril,1,1,,
21 194,Venustiano Carranza,Total,Mayo,1,1,,
21 194,Venustiano Carranza,Total,Junio,1,1,,
21 194,Venustiano Carranza,2022,Total,4,3,1,
21 194,Venustiano Carranza,2022,Febrero,1,,1,
21 194,Venustiano Carranza,2022,Abril,1,1,,
21 194,Venustiano Carranza,2022,Mayo,1,1,,
21 194,Venustiano Carranza,2022,Junio,1,1,,
21 195,Vicente Guerrero,Total,Total,1,1,,
21 195,Vicente Guerrero,Total,Marzo,1,1,,
21 195,Vicente Guerrero,2022,Total,1,1,,
21 195,Vicente Guerrero,2022,Marzo,1,1,,
21 197,Xicotepec,Total,Total,9,8,1,
21 197,Xicotepec,Total,Enero,1,1,,
21 197,Xicotepec,Total,Marzo,1,1,,
21 197,Xicotepec,Total,Abril,1,1,,
21 197,Xicotepec,Total,Julio,1,1,,
21 197,Xicotepec,Total,Agosto,3,3,,
21 197,Xicotepec,Total,Octubre,1,,1,
21 197,Xicotepec,Total,Noviembre,1,1,,
21 197,Xicotepec,2022,Total,9,8,1,
21 197,Xicotepec,2022,Enero,1,1,,
21 197,Xicotepec,2022,Marzo,1,1,,
21 197,Xicotepec,2022,Abril,1,1,,
21 197,Xicotepec,2022,Julio,1,1,,
21 197,Xicotepec,2022,Agosto,3,3,,
21 197,Xicotepec,2022,Octubre,1,,1,
21 197,Xicotepec,2022,Noviembre,1,1,,
21 199,Xiutetelco,Total,Total,1,1,,
21 199,Xiutetelco,Total,Noviembre,1,1,,
21 199,Xiutetelco,2022,Total,1,1,,
21 199,Xiutetelco,2022,Noviembre,1,1,,
21 200,Xochiapulco,Total,Total,1,1,,
21 200,Xochiapulco,Total,No especificado,1,1,,
21 200,Xochiapulco,No especificado,Total,1,1,,
21 200,Xochiapulco,No especificado,No especificado,1,1,,
21 201,Xochiltepec,Total,Total,1,1,,
21 201,Xochiltepec,Total,Junio,1,1,,
21 201,Xochiltepec,2022,Total,1,1,,
21 201,Xochiltepec,2022,Junio,1,1,,
21 202,Xochitlán de Vicente Suárez,Total,Total,1,1,,
21 202,Xochitlán de Vicente Suárez,Total,Octubre,1,1,,
21 202,Xochitlán de Vicente Suárez,2022,Total,1,1,,
21 202,Xochitlán de Vicente Suárez,2022,Octubre,1,1,,
21 203,Xochitlán Todos Santos,Total,Total,2,2,,
21 203,Xochitlán Todos Santos,Total,Marzo,2,2,,
21 203,Xochitlán Todos Santos,2022,Total,2,2,,
21 203,Xochitlán Todos Santos,2022,Marzo,2,2,,
21 204,Yaonáhuac,Total,Total,1,,1,
21 204,Yaonáhuac,Total,Junio,1,,1,
21 204,Yaonáhuac,2022,Total,1,,1,
21 204,Yaonáhuac,2022,Junio,1,,1,
21 205,Yehualtepec,Total,Total,6,5,1,
21 205,Yehualtepec,Total,Febrero,1,1,,
21 205,Yehualtepec,Total,Abril,3,3,,
21 205,Yehualtepec,Total,Junio,1,,1,
21 205,Yehualtepec,Total,Diciembre,1,1,,
21 205,Yehualtepec,2022,Total,6,5,1,
21 205,Yehualtepec,2022,Febrero,1,1,,
21 205,Yehualtepec,2022,Abril,3,3,,
21 205,Yehualtepec,2022,Junio,1,,1,
21 205,Yehualtepec,2022,Diciembre,1,1,,
21 206,Zacapala,Total,Total,1,1,,
21 206,Zacapala,Total,Agosto,1,1,,
21 206,Zacapala,2022,Total,1,1,,
21 206,Zacapala,2022,Agosto,1,1,,
21 207,Zacapoaxtla,Total,Total,1,1,,
21 207,Zacapoaxtla,Total,Septiembre,1,1,,
21 207,Zacapoaxtla,2022,Total,1,1,,
21 207,Zacapoaxtla,2022,Septiembre,1,1,,
21 208,Zacatlán,Total,Total,22,21,1,
21 208,Zacatlán,Total,Enero,1,1,,
21 208,Zacatlán,Total,Febrero,1,1,,
21 208,Zacatlán,Total,Marzo,4,3,1,
21 208,Zacatlán,Total,Abril,4,4,,
21 208,Zacatlán,Total,Mayo,2,2,,
21 208,Zacatlán,Total,Agosto,1,1,,
21 208,Zacatlán,Total,Septiembre,1,1,,
21 208,Zacatlán,Total,Octubre,1,1,,
21 208,Zacatlán,Total,Noviembre,3,3,,
21 208,Zacatlán,Total,Diciembre,4,4,,
21 208,Zacatlán,2021,Total,2,2,,
21 208,Zacatlán,2021,Octubre,1,1,,
21 208,Zacatlán,2021,Diciembre,1,1,,
21 208,Zacatlán,2022,Total,20,19,1,
21 208,Zacatlán,2022,Enero,1,1,,
21 208,Zacatlán,2022,Febrero,1,1,,
21 208,Zacatlán,2022,Marzo,4,3,1,
21 208,Zacatlán,2022,Abril,4,4,,
21 208,Zacatlán,2022,Mayo,2,2,,
21 208,Zacatlán,2022,Agosto,1,1,,
21 208,Zacatlán,2022,Septiembre,1,1,,
21 208,Zacatlán,2022,Noviembre,3,3,,
21 208,Zacatlán,2022,Diciembre,3,3,,
21 209,Zapotitlán,Total,Total,1,,1,
21 209,Zapotitlán,Total,Mayo,1,,1,
21 209,Zapotitlán,2022,Total,1,,1,
21 209,Zapotitlán,2022,Mayo,1,,1,
21 212,Zautla,Total,Total,1,1,,
21 212,Zautla,Total,Septiembre,1,1,,
21 212,Zautla,2022,Total,1,1,,
21 212,Zautla,2022,Septiembre,1,1,,
21 214,Zinacatepec,Total,Total,4,3,1,
21 214,Zinacatepec,Total,Mayo,2,1,1,
21 214,Zinacatepec,Total,Junio,1,1,,
21 214,Zinacatepec,Total,Octubre,1,1,,
21 214,Zinacatepec,2022,Total,4,3,1,
21 214,Zinacatepec,2022,Mayo,2,1,1,
21 214,Zinacatepec,2022,Junio,1,1,,
21 214,Zinacatepec,2022,Octubre,1,1,,
21 216,Zoquiapan,Total,Total,3,2,1,
21 216,Zoquiapan,Total,Febrero,1,,1,
21 216,Zoquiapan,Total,Septiembre,2,2,,
21 216,Zoquiapan,2022,Total,3,2,1,
21 216,Zoquiapan,2022,Febrero,1,,1,
21 216,Zoquiapan,2022,Septiembre,2,2,,
21 217,Zoquitlán,Total,Total,4,3,1,
21 217,Zoquitlán,Total,Enero,1,,1,
21 217,Zoquitlán,Total,Marzo,1,1,,
21 217,Zoquitlán,Total,Mayo,2,2,,
21 217,Zoquitlán,2022,Total,4,3,1,
21 217,Zoquitlán,2022,Enero,1,,1,
21 217,Zoquitlán,2022,Marzo,1,1,,
21 217,Zoquitlán,2022,Mayo,2,2,,
21 999,No especificado,Total,Total,37,29,5,3
21 999,No especificado,Total,Enero,5,5,,
21 999,No especificado,Total,Febrero,3,2,1,
21 999,No especificado,Total,Marzo,4,1,1,2
21 999,No especificado,Total,Abril,6,4,2,
21 999,No especificado,Total,Mayo,9,9,,
21 999,No especificado,Total,Junio,2,2,,
21 999,No especificado,Total,Agosto,1,1,,
21 999,No especificado,Total,Septiembre,2,1,1,
21 999,No especificado,Total,Noviembre,3,3,,
21 999,No especificado,Total,Diciembre,2,1,,1
21 999,No especificado,2018,Total,1,1,,
21 999,No especificado,2018,Noviembre,1,1,,
21 999,No especificado,2019,Total,3,3,,
21 999,No especificado,2019,Enero,1,1,,
21 999,No especificado,2019,Febrero,1,1,,
21 999,No especificado,2019,Mayo,1,1,,
21 999,No especificado,2020,Total,2,1,,1
21 999,No especificado,2020,Abril,1,1,,
21 999,No especificado,2020,Diciembre,1,,,1
21 999,No especificado,2021,Total,4,2,1,1
21 999,No especificado,2021,Marzo,1,,,1
21 999,No especificado,2021,Agosto,1,1,,
21 999,No especificado,2021,Septiembre,1,,1,
21 999,No especificado,2021,Diciembre,1,1,,
21 999,No especificado,2022,Total,27,22,4,1
21 999,No especificado,2022,Enero,4,4,,
21 999,No especificado,2022,Febrero,2,1,1,
21 999,No especificado,2022,Marzo,3,1,1,1
21 999,No especificado,2022,Abril,5,3,2,
21 999,No especificado,2022,Mayo,8,8,,
21 999,No especificado,2022,Junio,2,2,,
21 999,No especificado,2022,Septiembre,1,1,,
21 999,No especificado,2022,Noviembre,2,2,,
22,Querétaro,Total,Total,192,166,26,
22,Querétaro,Total,Enero,18,16,2,
22,Querétaro,Total,Febrero,13,11,2,
22,Querétaro,Total,Marzo,7,6,1,
22,Querétaro,Total,Abril,14,12,2,
22,Querétaro,Total,Mayo,17,16,1,
22,Querétaro,Total,Junio,16,16,,
22,Querétaro,Total,Julio,15,12,3,
22,Querétaro,Total,Agosto,11,10,1,
22,Querétaro,Total,Septiembre,23,19,4,
22,Querétaro,Total,Octubre,20,17,3,
22,Querétaro,Total,Noviembre,22,16,6,
22,Querétaro,Total,Diciembre,16,15,1,
22,Querétaro,2020,Total,1,1,,
22,Querétaro,2020,Septiembre,1,1,,
22,Querétaro,2021,Total,6,6,,
22,Querétaro,2021,Junio,2,2,,
22,Querétaro,2021,Septiembre,1,1,,
22,Querétaro,2021,Octubre,1,1,,
22,Querétaro,2021,Noviembre,2,2,,
22,Querétaro,2022,Total,185,159,26,
22,Querétaro,2022,Enero,18,16,2,
22,Querétaro,2022,Febrero,13,11,2,
22,Querétaro,2022,Marzo,7,6,1,
22,Querétaro,2022,Abril,14,12,2,
22,Querétaro,2022,Mayo,17,16,1,
22,Querétaro,2022,Junio,14,14,,
22,Querétaro,2022,Julio,15,12,3,
22,Querétaro,2022,Agosto,11,10,1,
22,Querétaro,2022,Septiembre,21,17,4,
22,Querétaro,2022,Octubre,19,16,3,
